filename,label
/kaggle/input/agricultural-pests-image-dataset/snail/snail (317).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (879).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (383).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (364).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (161).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/snail/snail (58).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (479).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (280).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (316).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (158).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (382).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/snail/snail (31).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (29).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (668).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (296).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (227).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/ants/ants (251).jpg,ants
/kaggle/input/agricultural-pests-image-dataset/slug/slug (21).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (6).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (108).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/moth/moth (416).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/snail/snail (328).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (598).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/slug/slug (165).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/earwig/earwig (215).jpg,earwig
/kaggle/input/agricultural-pests-image-dataset/moth/moth (301).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (360).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (876).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/bees/bees (326).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (36).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/weevil/Weevil (323).jpg,weevil
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (80).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/beetle/beetle (102).jpg,beetle
/kaggle/input/agricultural-pests-image-dataset/snail/snail (70).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/snail/snail (275).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/snail/snail (7).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/snail/snail (84).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/catterpillar/catterpillar (24).jpg,catterpillar
/kaggle/input/agricultural-pests-image-dataset/earthworms/earthworms (307).jpg,earthworms
/kaggle/input/agricultural-pests-image-dataset/slug/slug (247).jpg,slug
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (218).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/moth/moth (293).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/bees/bees (483).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/bees/bees (321).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/bees/bees (373).jpg,bees
/kaggle/input/agricultural-pests-image-dataset/snail/snail (449).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/moth/moth (292).jpg,moth
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (983).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/wasp/wasp (702).jpg,wasp
/kaggle/input/agricultural-pests-image-dataset/snail/snail (237).jpg,snail
/kaggle/input/agricultural-pests-image-dataset/grasshopper/grasshopper (34).jpg,grasshopper
/kaggle/input/agricultural-pests-image-dataset/ants/ants (232).jpg,ants
